代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
300163,先锋新材,4.36,1.16,183333.0,80024388.0,4.47,4.31,4.35,4.31,2066640000.0,1990759615.0,4.02,1852.52
605567,春雪食品,11.34,0.89,48721.0,54916803.0,11.37,11.14,11.23,11.24,2268000000.0,2268000000.0,2.44,1320.44
002188,中天服务,7.22,4.94,201390.0,143827206.68,7.33,6.83,6.84,6.88,2361689898.0,1858160911.0,7.83,642.28
300500,启迪设计,11.71,1.83,92983.0,108541464.0,11.85,11.4,11.4,11.5,2037245716.0,1962572053.0,5.55,354.7
002696,百洋股份,6.82,1.19,131905.0,89591269.0,6.85,6.7,6.71,6.74,2362190627.0,2281200985.0,3.94,218.12
002486,嘉麟杰,2.91,-1.69,453560.0,130786933.64,2.95,2.79,2.94,2.96,2398663821.0,2387474580.0,5.53,205.46
300605,恒锋信息,13.17,3.21,109420.0,143892512.41,13.49,12.67,12.7,12.76,2174940488.0,1664455813.0,8.66,142.38
688681,科汇股份,20.37,1.85,32657.0,66069284.0,20.43,19.7,20.0,20.0,2132127900.0,2132127900.0,3.12,128.04
603616,韩建河山,6.17,1.15,177173.0,108693419.0,6.19,6.02,6.09,6.1,2414432060.0,2371087810.0,4.61,123.7239261967
688565,力源科技,12.94,0.78,32202.0,41734191.0,13.12,12.76,12.83,12.84,1937506200.0,1937506200.0,2.15,118.8801473289
301037,保立佳,16.92,3.8,34441.0,57991262.5,17.05,16.21,16.3,16.3,2352416127.0,1150522522.0,5.06,110.21
002524,光正眼科,4.41,1.61,143967.0,63368205.0,4.44,4.33,4.38,4.34,2272612241.0,2252401211.0,2.82,100.83
688021,奥福科技,30.3,16.31,67115.0,193597980.0,30.35,26.05,26.25,26.05,2315335625.0,2315335625.0,8.78,99.7554184743
688329,艾隆科技,24.07,3.3,20915.0,49865862.0,24.08,23.18,23.42,23.3,1858204000.0,1858204000.0,2.71,96.56
301167,建研设计,17.72,1.72,27296.0,48050855.46,17.77,17.34,17.44,17.42,1984640000.0,1257458530.0,3.85,85.51
300929,华骐环保,14.19,1.36,54447.0,76711493.79,14.2,13.8,14.0,14.0,1874966646.0,1778863381.0,4.34,84.98
300013,新宁物流,4.14,1.47,201625.0,83601784.0,4.19,4.08,4.08,4.08,2311605821.0,1846640852.0,4.52,84.09
688121,卓然股份,6.48,-16.06,447289.0,282391272.0,6.63,6.18,6.18,7.72,1513818739.0,1313280002.0,22.07,74.55
603879,永悦科技,5.9,0.85,96590.0,56734509.0,5.94,5.8,5.84,5.85,2120132196.0,2120132196.0,2.69,72.6540458622
688096,京源环保,8.38,-0.48,46634.0,39403965.0,8.58,8.35,8.37,8.42,1978054527.0,1978054527.0,1.98,61.05
688004,博汇科技,23.21,1.44,18699.0,43424138.0,23.5,22.88,22.88,22.88,1858842480.0,1858842480.0,2.33,59.4260464959
002910,庄园牧场,11.31,2.17,56858.0,64249423.6,11.42,11.07,11.09,11.07,2211550015.0,1934710655.0,3.32,59.08
000663,永安林业,6.88,1.62,89916.0,61761780.88,6.92,6.75,6.82,6.77,2316385432.0,2107352228.0,2.94,49.45
301131,聚赛龙,43.48,3.08,16603.0,71463581.05,43.55,42.18,42.42,42.18,2376722587.0,1702454052.0,4.24,43.19
300886,华业香料,29.95,2.08,18483.0,55126998.96,30.45,29.37,29.37,29.34,2240200100.0,1307206685.0,4.23,39.41
300923,研奥股份,28.89,2.01,19619.0,56406191.02,28.95,28.34,28.34,28.32,2270754000.0,2205076196.0,2.57,36.77
600778,友好集团,6.83,1.79,121545.0,82774974.0,6.87,6.66,6.71,6.71,2127485934.0,2125597644.0,3.91,26.33
300640,德艺文创,7.4,2.35,88635.0,65282478.2,7.43,7.2,7.28,7.23,2301351360.0,1633543562.0,4.02,26.25
600137,浪莎股份,23.4,-2.17,52205.0,121144640.0,23.63,22.66,23.36,23.92,2274891559.0,2274891559.0,5.37,26.15
600455,博通股份,28.09,1.85,53919.0,151007727.0,28.46,27.58,27.9,27.58,1754445220.0,1754445220.0,8.63,25.63
